Date,Open_Close_Shift,Positive_Negative,Subjectivity,Analysis
2019-01-02,0.5300721225094681,1,0.3113184534093874,Positive
2019-01-03,0.11395751687798451,-1,0.3262452503181393,Positive
2019-01-04,0.5905035402601679,1,0.3682419793830225,Positive
2019-01-07,0.20201416104067182,-1,0.2559678597546874,Positive
2019-01-08,0.37122344804874036,1,0.3816293306570389,Positive
2019-01-09,0.4428783138481805,1,0.28893952546259694,Positive
2019-01-10,0.38071990778857234,1,0.27225989576784243,Positive
2019-01-11,0.21755310390251936,-1,0.17300701710925265,Positive
2019-01-14,0.1951075251111477,-1,0.3625157272962105,Positive
2019-01-15,0.5102163675284044,1,0.30398897109517137,Positive
2019-01-16,0.42906504198913226,1,0.39065322959537485,Positive
2019-01-17,0.4117991108183764,1,0.2909293475332085,Positive
2019-01-18,0.2097849497777046,-1,0.013903174095284325,Positive
2019-01-22,0.0,-1,0.427421790371076,Positive
2019-01-23,0.24863362423843238,-1,0.386377746207025,Positive
2019-01-24,0.14676239091058785,-1,0.5207766070345428,Positive
2019-01-25,0.4653238926395521,1,0.4217066542054277,Positive
2019-01-28,0.3125190186069488,1,0.1832272070270053,Positive
2019-01-29,0.13294911905153958,-1,0.17765179449936144,Positive
2019-01-30,0.44115132553927217,1,0.3497697122212987,Positive
2019-01-31,0.29697875843899224,1,0.22428025628910234,Positive
2019-02-01,0.23050354026016795,-1,0.378995593447527,Negative
2019-02-04,0.6,1,0.2631631365585981,Positive
2019-02-05,0.38244557879137164,1,0.531800515455571,Positive
2019-02-06,0.23309468137658487,-1,0.6,Positive
2019-02-07,0.14244689609748065,-1,0.23423810563531194,Negative
2019-02-08,0.39107920302980403,1,0.070577259132964,Positive
2019-02-11,0.1286323069323234,-1,0.14890877837486885,Positive
2019-02-12,0.33669026840111965,1,0.36651667446698877,Positive
2019-02-13,0.16402832208134363,-1,0.23694738778243668,Positive
2019-02-14,0.3625898238103079,1,0.21710993206111642,Positive
2019-02-15,0.196834513420056,-1,0.23285876793126822,Positive
2019-02-19,0.3738119545529392,1,0.2596931124752468,Positive
2019-02-20,0.3410070805203359,1,0.3949857850289549,Positive
2019-02-21,0.20460398485097972,-1,0.0,Positive
2019-02-22,0.3884893792194961,1,0.36106924614986435,Positive
2019-02-25,0.2745318623415116,1,0.3125882075828528,Positive
2019-02-26,0.32201416104067176,1,0.21134160021694642,Positive
2019-02-27,0.4117977935122674,1,0.00925747933661615,Positive
